subject,run,status,failures
sub-01,1,fail,"['fname does not exist: ""/home/user/code/mindeye/data/processed/zuna_real_sub01_runs01_05/sub-01_run-01_zuna.fif""']"
sub-01,2,fail,"['fname does not exist: ""/home/user/code/mindeye/data/processed/zuna_real_sub01_runs01_05/sub-01_run-02_zuna.fif""']"
sub-01,3,fail,"['fname does not exist: ""/home/user/code/mindeye/data/processed/zuna_real_sub01_runs01_05/sub-01_run-03_zuna.fif""']"
sub-01,4,fail,"['fname does not exist: ""/home/user/code/mindeye/data/processed/zuna_real_sub01_runs01_05/sub-01_run-04_zuna.fif""']"
sub-01,5,fail,"['fname does not exist: ""/home/user/code/mindeye/data/processed/zuna_real_sub01_runs01_05/sub-01_run-05_zuna.fif""']"
