epoch,train_loss,val_loss,val_score,top1,top5,top10,mrr,median_rank,mean_diag_cosine,collapse_score
32,3.8245410601298016,5.017684459686279,0.04034002311527729,0.0,0.01600000075995922,0.04800000041723251,0.028340023010969162,61.0,0.000883303233422339,0.9606175395995524
33,3.794869144757589,5.014775276184082,0.04081661254167557,0.0,0.00800000037997961,0.04800000041723251,0.02881661243736744,61.0,0.0001535229675937444,0.9623313884151657
34,3.7728203813234966,5.028923034667969,0.03828517999500036,0.0,0.01600000075995922,0.03200000151991844,0.030285179615020752,62.0,-0.0003276783099863678,0.9565240818434807
35,3.7560736854871113,5.045407295227051,0.04652726836502552,0.00800000037997961,0.024000000208616257,0.04800000041723251,0.03452726826071739,64.0,-0.0023470567539334297,0.9613651367865533
36,3.733301103115082,5.0376200675964355,0.04344568029046059,0.0,0.024000000208616257,0.0560000017285347,0.029445679858326912,63.0,-0.0003622508083935827,0.9614897926211685
37,3.7021288514137267,5.0348663330078125,0.04203808680176735,0.0,0.00800000037997961,0.0560000017285347,0.028038086369633675,63.0,-0.000941199017688632,0.9601554853507859
38,3.674940025806427,5.028385639190674,0.04219510965049267,0.0,0.00800000037997961,0.04800000041723251,0.03019510954618454,61.0,3.949165147787426e-06,0.9529331323638048
39,3.667355501651764,5.015605926513672,0.04432951845228672,0.0,0.01600000075995922,0.0560000017285347,0.030329518020153046,63.0,0.00034933144343085587,0.9625726768430082
40,3.639183262983958,5.036190032958984,0.04370935820043087,0.0,0.03200000151991844,0.04800000041723251,0.03170935809612274,64.0,-0.0007729444769211113,0.9596168302605586
41,3.6230159838994345,5.018763542175293,0.04490139149129391,0.0,0.03999999910593033,0.04800000041723251,0.03290139138698578,64.0,0.00020902472897432745,0.9632048238091968
42,3.5926565408706663,5.019710540771484,0.05277950502932072,0.0,0.03200000151991844,0.06400000303983688,0.036779504269361496,65.0,-0.00030060249264352024,0.954172089744431
43,3.596911386648814,5.027531147003174,0.06083408370614052,0.00800000037997961,0.03999999910593033,0.08799999952316284,0.03883408382534981,64.0,-0.0006911992095410824,0.9616525377385827
44,3.5597373127937315,5.0231733322143555,0.06015845760703087,0.00800000037997961,0.03999999910593033,0.07199999690055847,0.04215845838189125,59.0,6.20663195149973e-05,0.9587561475975755
45,3.544380211830139,5.020685195922852,0.05560458451509476,0.0,0.03200000151991844,0.07199999690055847,0.03760458528995514,66.0,0.00022626582358498126,0.9584079389213436
46,3.525407691796621,5.02335786819458,0.052254993468523026,0.0,0.01600000075995922,0.07199999690055847,0.03425499424338341,61.0,-5.456054350361228e-05,0.9666421493300889
47,3.4969162940979004,5.016566753387451,0.04873846285045147,0.0,0.024000000208616257,0.06400000303983688,0.03273846209049225,64.0,-0.00012009680358460173,0.9659854259087017
48,3.492149285475413,5.019344329833984,0.0442760419100523,0.0,0.01600000075995922,0.0560000017285347,0.030276041477918625,62.0,-0.0006095888675190508,0.9734871566063243
49,3.4832033634185793,5.012367248535156,0.050644801929593086,0.0,0.03999999910593033,0.06400000303983688,0.034644801169633865,64.0,0.000608429778367281,0.9676653237449687
50,3.445365031560262,5.004588603973389,0.054963357746601105,0.0,0.03200000151991844,0.07199999690055847,0.03696335852146149,61.0,0.0007526936242356896,0.9715135236800903
