epoch,train_loss,val_loss,val_score,top1,top5,top10,mrr,median_rank,mean_diag_cosine,collapse_score
1,4.7279985268910725,4.829829692840576,0.06397003307938576,0.00800000037997961,0.03999999910593033,0.07999999821186066,0.04397003352642059,63.0,-0.014485940337181091,0.1146378972474352
2,4.721332518259684,4.827946186065674,0.06407018005847931,0.00800000037997961,0.03999999910593033,0.07999999821186066,0.044070180505514145,63.0,-0.005244037602096796,0.16699341097493975
3,4.71817831993103,4.821113586425781,0.07103844359517097,0.00800000037997961,0.06400000303983688,0.09600000083446503,0.04703844338655472,59.0,-0.008603161200881004,0.5547488666942264
4,4.709533389409383,4.796019554138184,0.08230748772621155,0.00800000037997961,0.03999999910593033,0.12800000607967377,0.050307486206293106,51.0,0.016947872936725616,2.1748124353509377
5,4.695335610707601,4.78365421295166,0.07914825156331062,0.01600000075995922,0.03999999910593033,0.09600000083446503,0.055148251354694366,49.0,0.007172896061092615,2.390538903935671
6,4.673752538363138,4.759604454040527,0.0827547051012516,0.00800000037997961,0.06400000303983688,0.1120000034570694,0.05475470423698425,48.0,0.011743823066353798,3.1502173515843084
7,4.63907839457194,4.735807418823242,0.09513471648097038,0.0,0.07999999821186066,0.1599999964237213,0.055134717375040054,48.0,0.01758859120309353,3.557851705396272
8,4.60762132803599,4.666933059692383,0.11366544663906097,0.00800000037997961,0.08799999952316284,0.17599999904632568,0.06966544687747955,36.0,0.019136417657136917,4.179026729221076
9,4.590350047747294,4.652358531951904,0.11636848002672195,0.01600000075995922,0.08799999952316284,0.1599999964237213,0.07636848092079163,35.0,0.020008014515042305,4.178469631032098
10,4.562138112386068,4.652738094329834,0.11249321699142456,0.01600000075995922,0.04800000041723251,0.17599999904632568,0.06849321722984314,36.0,0.019166719168424606,4.034370976154321
11,4.542316031455994,4.62850284576416,0.12225224822759628,0.01600000075995922,0.10400000214576721,0.17599999904632568,0.07825224846601486,33.0,0.019497958943247795,4.3086534829232646
12,4.51597797870636,4.625534534454346,0.12366633117198944,0.01600000075995922,0.09600000083446503,0.17599999904632568,0.07966633141040802,34.0,0.02708100900053978,4.226377123212006
