epoch,train_loss,val_loss,val_score,top1,top5,top10,mrr,median_rank,mean_diag_cosine,collapse_score
1,4.7281956990559895,4.830164432525635,-1.0,0.00800000037997961,0.03999999910593033,0.07999999821186066,0.04200310632586479,63.0,0.0045475740917027,0.09099445125397024
2,4.722932600975037,4.829817771911621,-1.0,0.00800000037997961,0.04800000041723251,0.07999999821186066,0.04350501298904419,63.0,0.009187314659357071,0.0716364796412588
3,4.720474529266357,4.829916954040527,-1.0,0.00800000037997961,0.03999999910593033,0.07999999821186066,0.043312858790159225,64.0,0.012492125853896141,0.0578378075587783
4,4.719414623578389,4.829566478729248,-1.0,0.01600000075995922,0.03999999910593033,0.07999999821186066,0.047408103942871094,64.0,0.004959086887538433,0.06610526764047708
5,4.719629557927449,4.829458236694336,-1.0,0.00800000037997961,0.03999999910593033,0.07999999821186066,0.043244849890470505,62.0,0.007038827054202557,0.06892633410537759
6,4.718074297904968,4.828787326812744,0.06471038237214088,0.00800000037997961,0.04800000041723251,0.07999999821186066,0.04471038281917572,63.0,0.00674788374453783,0.16281603069177605
7,4.717269031206767,4.8282623291015625,0.060623906552791595,0.00800000037997961,0.04800000041723251,0.07199999690055847,0.04262390732765198,59.0,0.0014510556356981397,0.2590171489949415
8,4.716188915570577,4.828492164611816,0.06105813570320606,0.00800000037997961,0.04800000041723251,0.06400000303983688,0.04505813494324684,60.0,0.013022051192820072,0.3805050499062135
9,4.714269908269246,4.827569961547852,0.06880827806890011,0.024000000208616257,0.03999999910593033,0.06400000303983688,0.05280827730894089,63.0,-0.001144159585237503,0.7815653809402114
10,4.709674048423767,4.831768989562988,0.06298000738024712,0.00800000037997961,0.03999999910593033,0.07999999821186066,0.04298000782728195,57.0,0.00545711163431406,1.290163221827672
11,4.704781730969747,4.827875137329102,0.06545624136924744,0.00800000037997961,0.03200000151991844,0.08799999952316284,0.043456241488456726,63.0,0.006321184802800417,1.8675393963826492
12,4.696499657630921,4.834637641906738,0.06037379428744316,0.00800000037997961,0.03200000151991844,0.07199999690055847,0.04237379506230354,62.0,0.0039360434748232365,2.587429194282652
13,4.687723008791606,4.842280387878418,0.04628043435513973,0.0,0.01600000075995922,0.0560000017285347,0.03228043392300606,62.0,0.0026038505602627993,3.820379130964296
14,4.673889565467834,4.830985069274902,0.07097940519452095,0.00800000037997961,0.04800000041723251,0.09600000083446503,0.046979404985904694,67.0,0.00033704753150232136,4.049331785433665
15,4.667042255401611,4.84519100189209,0.059988513588905334,0.00800000037997961,0.03200000151991844,0.07199999690055847,0.04198851436376572,61.0,0.001451824908144772,4.449793868631931
16,4.659341176350911,4.826055526733398,0.06533458456397057,0.01600000075995922,0.03200000151991844,0.07199999690055847,0.04733458533883095,58.0,0.0027723219245672226,4.598335916106831
17,4.640359767278036,4.839282035827637,0.05050951801240444,0.00800000037997961,0.01600000075995922,0.0560000017285347,0.03650951758027077,62.0,0.0005209024529904127,4.521940165053307
18,4.630656703313192,4.804311752319336,0.08250464498996735,0.00800000037997961,0.07199999690055847,0.10400000214576721,0.05650464445352554,57.0,0.0032761101610958576,4.65419242470663
19,4.623843336105347,4.831386566162109,0.05439792014658451,0.0,0.024000000208616257,0.06400000303983688,0.03839791938662529,60.0,0.0014241535682231188,4.656496488747838
20,4.613659278551737,4.839710235595703,0.058003980666399,0.00800000037997961,0.024000000208616257,0.07199999690055847,0.040003981441259384,62.0,0.0002453999186400324,4.536817279167573
21,4.599154456456502,4.820430278778076,0.05757599323987961,0.00800000037997961,0.024000000208616257,0.07199999690055847,0.03957599401473999,53.0,0.002744062338024378,4.4046793546164595
22,4.594963876406352,4.823500633239746,0.056064050644636154,0.0,0.03200000151991844,0.07199999690055847,0.038064051419496536,54.0,0.0032752167899161577,4.566467335414091
23,4.586255192756653,4.830543518066406,0.06683259829878807,0.00800000037997961,0.03999999910593033,0.08799999952316284,0.04483259841799736,59.0,0.00084743119077757,4.641693904181679
24,4.5798766851425174,4.825738906860352,0.06703658029437065,0.00800000037997961,0.03999999910593033,0.09600000083446503,0.043036580085754395,54.0,0.002558233216404915,4.759271465197983
25,4.564699490865071,4.8107099533081055,0.06663163006305695,0.00800000037997961,0.03999999910593033,0.08799999952316284,0.044631630182266235,49.0,0.0035734374541789293,4.653391655527816
26,4.553705088297526,4.832497596740723,0.07148661091923714,0.01600000075995922,0.03999999910593033,0.08799999952316284,0.049486611038446426,58.0,0.0030401151161640882,4.662881045547929
